"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 20:06:24 UTC 2023","Wed Apr 05 20:06:24 UTC 2023","72","/usuarios CONTRATO","","","","","PUT",""
"passed","Wed Apr 05 20:06:24 UTC 2023","Wed Apr 05 20:06:24 UTC 2023","143","/usuarios GET","","","","","Query string - Busca por todos as chaves",""
"passed","Wed Apr 05 20:06:24 UTC 2023","Wed Apr 05 20:06:24 UTC 2023","229","/usuarios CONTRATO","","","","","GET",""
"passed","Wed Apr 05 20:06:24 UTC 2023","Wed Apr 05 20:06:24 UTC 2023","63","/usuarios CONTRATO","","","","","POST",""
"passed","Wed Apr 05 20:06:24 UTC 2023","Wed Apr 05 20:06:24 UTC 2023","72","/usuarios GET","","","","","Query string - Chave inexistente",""
"passed","Wed Apr 05 20:06:24 UTC 2023","Wed Apr 05 20:06:24 UTC 2023","74","/usuarios GET","","","","","Query string - Nenhum usuário encontrado",""
